component,line_count,line_covered,line_missed,line_percent
rustc_hir_typeck,28505,9,28496,0.0316
rustc_middle,27516,869,26647,3.1582
rustc_trait_selection,27485,32,27453,0.1164
rustc_hir_analysis,19952,87,19865,0.4360
rustc_borrowck,18981,3,18978,0.0158
rustc_mir_transform,18138,39,18099,0.2150
rustc_resolve,16820,763,16057,4.5363
rustc_target,16011,296,15715,1.8487
rustc_codegen_llvm,15546,366,15180,2.3543
rustc_parse,15416,3718,11698,24.1178
rustc_codegen_ssa,14835,142,14693,0.9572
rustc_mir_build,11805,10,11795,0.0847
rustc_const_eval,11488,13,11475,0.1132
rustc_lint,11431,686,10745,6.0012
rustc_ast_lowering,8222,0,8222,0.0000
rustc_builtin_macros,8092,76,8016,0.9392
rustc_expand,7476,1081,6395,14.4596
rustc_infer,5989,0,5989,0.0000
rustc_metadata,5896,349,5547,5.9193
rustc_attr_parsing,5429,308,5121,5.6732
rustc_type_ir,5189,78,5111,1.5032
rustc_public,5134,0,5134,0.0000
rustc_passes,5063,60,5003,1.1851
rustc_next_trait_solver,4946,0,4946,0.0000
rustc_session,4687,1384,3303,29.5285
rustc_data_structures,4637,645,3992,13.9099
rustc_hir,4211,131,4080,3.1109
rustc_span,4147,1344,2803,32.4090
rustc_ast,4092,925,3167,22.6051
rustc_ast_pretty,3734,0,3734,0.0000
rustc_mir_dataflow,3462,0,3462,0.0000
rustc_errors,3337,748,2589,22.4153
rustc_ty_utils,2797,89,2708,3.1820
rustc_abi,2530,164,2366,6.4822
rustc_hir_pretty,2209,0,2209,0.0000
rustc_monomorphize,2176,19,2157,0.8732
rustc_pattern_analysis,2168,0,2168,0.0000
rustc_ast_passes,1974,0,1974,0.0000
rustc_thread_pool,1971,0,1971,0.0000
rustc_interface,1915,598,1317,31.2272
rustc_proc_macro,1801,14,1787,0.7773
rustc_index,1560,78,1482,5.0000
rustc_driver_impl,1501,295,1206,19.6536
rustc_query_impl,1477,275,1202,18.6188
rustc_incremental,1262,26,1236,2.0602
rustc_symbol_mangling,1218,3,1215,0.2463
rustc_privacy,1155,8,1147,0.6926
rustc_transmute,890,0,890,0.0000
rustc_sanitizers,853,0,853,0.0000
rustc_public_bridge,795,0,795,0.0000
rustc_serialize,666,4,662,0.6006
rustc_lexer,599,224,375,37.3957
rustc_parse_format,577,0,577,0.0000
rustc_traits,418,40,378,9.5694
rustc_arena,304,199,105,65.4605
rustc_error_messages,243,72,171,29.6296
rustc_feature,200,38,162,19.0000
rustc_lint_defs,189,34,155,17.9894
rustc_ast_ir,179,29,150,16.2011
rustc_graphviz,153,0,153,0.0000
rustc_log,128,59,69,46.0938
rustc_hir_id,53,0,53,0.0000
rustc_llvm,52,26,26,50.0000
rustc_hashes,45,18,27,40.0000
rustc_fs_util,40,3,37,7.5000
rustc_baked_icu_data,18,0,18,0.0000
